Location,Period,ParentLocation,banned,Population,FemaleCons,MaleCons,TotCons
Norway,2019,Europe,FALSE,5347896,3.09,10.49,6.8
Oman,2019,Eastern Mediterranean,FALSE,4602768,0.17,1.21,0.88
Pakistan,2019,Eastern Mediterranean,FALSE,223293280,0.028,0.18,0.1
Panama,2019,Americas,FALSE,4232532,2.65,10.6,6.6
Papua New Guinea,2019,Western Pacific,FALSE,9542486,0.57,2.75,1.7
Paraguay,2019,Americas,FALSE,6530026,2.37,8.85,5.6
Peru,2019,Americas,FALSE,32824861,3.46,11.58,7.45
Philippines,2019,Western Pacific,FALSE,110380804,2.4,9.92,6.18
Poland,2019,Europe,FALSE,37965475,5.15,18.67,11.63
Portugal,2019,Europe,FALSE,10286263,4.81,16.89,10.45
Qatar,2019,Eastern Mediterranean,FALSE,2807235,0.26,1.4,1.15
South Korea,2019,Western Pacific,FALSE,51764822,3.63,12.79,8.19
Republic of Moldova,2019,Europe,FALSE,#N/A,5.09,18.49,11.36
Romania,2019,Europe,FALSE,19371648,7.51,27.3,16.99
Russia,2019,Europe,FALSE,144406261,4.17,17.95,10.42
Rwanda,2019,Africa,FALSE,12835028,0.69,3.18,1.88
Saint Kitts and Nevis,2019,Americas,FALSE,47712,2.66,10.28,6.34
Saint Lucia,2019,Americas,FALSE,178583,3.94,15.15,9.47
Saint Vincent and the Grenadines,2019,Americas,FALSE,104924,2.84,11.26,7.16
Samoa,2019,Western Pacific,FALSE,211905,0.81,3.93,2.39
Sao Tome and Principe,2019,Africa,FALSE,214599,2.09,7.95,5.01
Saudi Arabia,2019,Eastern Mediterranean,TRUE,35827362,0,0,0
Senegal,2019,Africa,FALSE,16000781,0.11,0.73,0.41
Serbia,2019,Europe,FALSE,6945235,3.35,12.94,7.89
Seychelles,2019,Africa,FALSE,97625,4.72,18.41,11.99
Sierra Leone,2019,Africa,FALSE,8046828,0.066,0.47,0.26
Singapore,2019,Western Pacific,FALSE,5703569,0.8,2.85,1.87
Slovakia,2019,Europe,FALSE,5454147,4.61,16.74,10.48
Slovenia,2019,Europe,FALSE,2088385,4.69,17.33,10.98
Solomon Is.,2019,Western Pacific,FALSE,674993,0.55,2.65,1.62
Somalia,2019,Eastern Mediterranean,TRUE,15981300,0,0,0
South Africa,2019,Africa,FALSE,58087055,2.93,15.2,8.77
Spain,2019,Europe,FALSE,47134837,4.92,17.26,10.91
Sri Lanka,2019,South-East Asia,FALSE,21803000,1.02,4.83,2.83
Sudan,2019,Eastern Mediterranean,TRUE,43232093,0.001,0.009,0.005
Suriname,2019,Americas,FALSE,600301,2.57,10.77,6.63
Sweden,2019,Europe,FALSE,10278887,4.18,14.42,9.3
Switzerland,2019,Europe,FALSE,8575280,4.77,16.19,10.4
Syria,2019,Eastern Mediterranean,FALSE,20098251,0.044,0.36,0.2
Turkey,2019,Europe,FALSE,83481684,0.44,3.21,1.82
Tajikistan,2019,Europe,FALSE,9337003,0.24,1.5,0.87
Thailand,2019,South-East Asia,FALSE,71307763,3.04,13.01,7.85
Macedonia,2019,Europe,FALSE,2076694,1.63,7.66,4.62
Timor-Leste,2019,South-East Asia,FALSE,1280438,0.15,0.65,0.4
Togo,2019,Africa,FALSE,8243094,0.52,2.31,1.42
Tonga,2019,Western Pacific,FALSE,104951,0.13,0.64,0.38
Trinidad and Tobago,2019,Americas,FALSE,1519955,2.42,9.86,6.06
Tunisia,2019,Eastern Mediterranean,FALSE,12049314,0.49,3.61,2.01
Turkmenistan,2019,Europe,FALSE,6158420,0.84,5.12,2.93
Tuvalu,2019,Western Pacific,FALSE,10956,0.4,2.06,1.25
Uganda,2019,Africa,FALSE,42949080,4.88,19.93,12.21
Ukraine,2019,Europe,FALSE,44386203,3.82,14.57,8.7
United Arab Emirates,2019,Eastern Mediterranean,FALSE,9211657,0.41,3.08,2.37
United Kingdom,2019,Europe,FALSE,#N/A,4.94,16.95,10.82
Tanzania,2019,Africa,FALSE,59872579,3.59,17.55,10.36
United States of America,2019,Americas,FALSE,328329953,4.29,15.03,9.57
Uruguay,2019,Americas,FALSE,3428409,2.49,8.71,5.45
Uzbekistan,2019,Europe,FALSE,33580350,0.71,4.54,2.6
Vanuatu,2019,Western Pacific,FALSE,304404,0.65,3.12,1.87
Venezuela,2019,Americas,FALSE,28971683,1.16,4.95,3.02
Vietnam,2019,Western Pacific,FALSE,95776716,3.78,15.26,9.34
Yemen,2019,Eastern Mediterranean,TRUE,31546691,0.006,0.049,0.028
Zambia,2019,Africa,FALSE,18380477,1.48,6.34,3.85
Zimbabwe,2019,Africa,FALSE,15354608,1.25,6.52,3.63
