Location,Period,ParentLocation,banned,Population,FemaleCons,MaleCons,TotCons
Bulgaria,2010,Europe,FALSE,7395599,4.91,19.51,11.92
Burkina Faso,2010,Africa,FALSE,16116845,3.31,16.59,9.81
Burundi,2010,Africa,FALSE,9126605,1.54,6.81,4.13
Côte d'Ivoire,2010,Africa,FALSE,21120042,0.95,4.61,2.8
Cabo Verde,2010,Africa,FALSE,521212,2.63,10.01,6.27
Cambodia,2010,Western Pacific,FALSE,14363532,3.43,13.8,8.48
Cameroon,2010,Africa,FALSE,19878036,4.14,16.18,10.1
Canada,2010,Americas,FALSE,34004889,4.34,15.59,9.9
Central African Rep.,2010,Africa,FALSE,4660067,0.79,3.2,1.99
Chad,2010,Africa,FALSE,11894727,1.2,6.3,3.73
Chile,2010,Americas,FALSE,17004162,3.09,10.51,6.75
China,2010,Western Pacific,FALSE,1337705000,2.28,9.09,5.73
Colombia,2010,Americas,FALSE,44816108,1.91,8.06,4.92
Comoros,2010,Africa,FALSE,656024,0.057,0.45,0.25
Congo,2010,Africa,FALSE,70829141,2.72,10.13,6.4
Costa Rica,2010,Americas,FALSE,4622252,1.3,5.62,3.45
Croatia,2010,Europe,FALSE,4295427,3.68,13.79,8.54
Cuba,2010,Americas,FALSE,11290417,2.34,9.77,6.01
Cyprus,2010,Europe,FALSE,1129686,3.43,12.7,8.05
Czechia,2010,Europe,FALSE,10474410,5.84,21.09,13.29
North Korea,2010,South-East Asia,FALSE,24686435,1.73,6.97,4.29
Dem. Rep. Congo,2010,Africa,FALSE,66391257,0.86,3.41,2.12
Denmark,2010,Europe,FALSE,5547683,4.29,14.64,9.4
Djibouti,2010,Eastern Mediterranean,FALSE,919199,0.098,0.72,0.4
Dominica,2010,Americas,FALSE,68755,2.44,9.76,6.1
Dominican Rep.,2010,Americas,FALSE,9775755,2.82,10.7,6.76
Ecuador,2010,Americas,FALSE,14989585,1.49,5.05,3.26
Egypt,2010,Eastern Mediterranean,FALSE,87252413,0.035,0.26,0.15
El Salvador,2010,Americas,FALSE,6114034,1.32,5.56,3.28
Eq. Guinea,2010,Africa,FALSE,1094524,2.79,10.42,6.94
Eritrea,2010,Africa,FALSE,3147727,0.37,2.15,1.23
Estonia,2010,Europe,FALSE,1331475,5.11,18.4,11.26
eSwatini,2010,Africa,FALSE,1099920,2.73,13.66,8.09
Ethiopia,2010,Africa,FALSE,89237791,1.04,5.71,3.36
Fiji,2010,Western Pacific,FALSE,905169,1.16,5.74,3.45
Finland,2010,Europe,FALSE,5363352,4.14,14.38,9.16
France,2010,Europe,FALSE,65030575,5.14,18.04,11.3
Gabon,2010,Africa,FALSE,1711105,2.94,11.46,7.33
Gambia,2010,Africa,FALSE,1937275,0.34,1.91,1.11
Georgia,2010,Europe,FALSE,3786695,5.86,24.31,14.33
Germany,2010,Europe,FALSE,81776930,5.49,19.22,12.22
Ghana,2010,Africa,FALSE,25574719,1.75,7.41,4.55
Greece,2010,Europe,FALSE,11121341,3.12,11.34,7.12
Grenada,2010,Americas,FALSE,114039,3.31,12.84,8.06
Guatemala,2010,Americas,FALSE,14259687,0.63,2.67,1.63
Guinea,2010,Africa,FALSE,10270728,0.13,0.83,0.47
Guinea-Bissau,2010,Africa,FALSE,1567220,1.4,7.07,4.14
Guyana,2010,Americas,FALSE,747932,2.19,8.71,5.35
Haiti,2010,Americas,FALSE,9842880,1.4,5.57,3.45
Honduras,2010,Americas,FALSE,8450933,1.22,5.1,3.17
Hungary,2010,Europe,FALSE,10000023,4.68,17.22,10.6
Iceland,2010,Europe,FALSE,318041,3.7,12.28,8.07
India,2010,South-East Asia,FALSE,1240613620,1.56,8.1,4.92
Indonesia,2010,South-East Asia,FALSE,244016173,0.027,0.19,0.11
Iran,2010,Eastern Mediterranean,TRUE,75373855,0.15,1.25,0.7
Iraq,2010,Eastern Mediterranean,FALSE,31264875,0.061,0.43,0.24
Ireland,2010,Europe,FALSE,4560155,5.58,18.06,11.7
Israel,2010,Europe,FALSE,7623600,1.28,4.78,3.01
Italy,2010,Europe,FALSE,59277417,3.54,12.72,7.97
Jamaica,2010,Americas,FALSE,2733896,1.44,5.83,3.6
Japan,2010,Western Pacific,FALSE,128070000,2.89,10.74,6.68
Jordan,2010,Eastern Mediterranean,FALSE,6931258,0.072,0.52,0.31
Kazakhstan,2010,Europe,FALSE,16321872,1.43,8.06,4.52
Kenya,2010,Africa,FALSE,41517895,1,4.78,2.87
Kiribati,2010,Western Pacific,FALSE,107995,0.26,1.31,0.76
Kuwait,2010,Eastern Mediterranean,FALSE,2943356,0,0,0
Kyrgyzstan,2010,Europe,FALSE,5447900,1.47,8.7,4.95
Laos,2010,Western Pacific,FALSE,6323418,4.85,18.15,11.52
Latvia,2010,Europe,FALSE,2097555,5.99,21.73,13.09
Lebanon,2010,Eastern Mediterranean,FALSE,4995800,0.4,2.65,1.48
Lesotho,2010,Africa,FALSE,2022747,1.43,7.79,4.54
Liberia,2010,Africa,FALSE,4019956,1.43,5.94,3.64
Libya,2010,Eastern Mediterranean,TRUE,6491988,0.002,0.015,0.008
Lithuania,2010,Europe,FALSE,3097282,5.39,19.34,11.79
Luxembourg,2010,Europe,FALSE,506953,5.44,17.6,11.53
Madagascar,2010,Africa,FALSE,21731053,0.35,1.69,1.02
Malawi,2010,Africa,FALSE,14718422,1.16,5.52,3.24
Malaysia,2010,Western Pacific,FALSE,28717731,0.21,1.29,0.76
Maldives,2010,South-East Asia,TRUE,361575,0.27,2.22,1.43
Mali,2010,Africa,FALSE,15529181,1.22,7.42,4.35
Malta,2010,Europe,FALSE,414508,3.79,13.03,8.52
Mauritania,2010,Africa,TRUE,3419461,0,0,0
Mauritius,2010,Africa,FALSE,1250400,2.75,12.45,7.52
Mexico,2010,Americas,FALSE,112532401,2.3,9.38,5.72
Micronesia (Federated States of),2010,Western Pacific,FALSE,107588,0.72,3.53,2.12
Mongolia,2010,Western Pacific,FALSE,2702520,3.35,12.71,7.93
Montenegro,2010,Europe,FALSE,619428,4.31,16.86,10.34
Morocco,2010,Eastern Mediterranean,FALSE,32464865,0.11,0.86,0.49
Mozambique,2010,Africa,FALSE,23073723,0.68,3.48,2.03
Myanmar,2010,South-East Asia,FALSE,49390988,0.77,3.5,2.12
Namibia,2010,Africa,FALSE,2099271,2,10.27,5.93
Nauru,2010,Western Pacific,FALSE,10241,1.04,4.82,2.94
Nepal,2010,South-East Asia,FALSE,27161567,0.48,2.4,1.36
Netherlands,2010,Europe,FALSE,16615394,4.23,14.51,9.3
New Zealand,2010,Western Pacific,FALSE,4350700,4.66,15.36,9.89
Nicaragua,2010,Americas,FALSE,5855734,1.64,6.84,4.17
Niger,2010,Africa,FALSE,16647543,0.034,0.23,0.13
Nigeria,2010,Africa,FALSE,160952853,1.37,7.02,4.21
Norway,2010,Europe,FALSE,4889252,3.09,10.49,6.8
Oman,2010,Eastern Mediterranean,FALSE,2881914,0.17,1.21,0.88
Pakistan,2010,Eastern Mediterranean,FALSE,194454498,0.028,0.18,0.1
Panama,2010,Americas,FALSE,3623617,2.65,10.6,6.6
Papua New Guinea,2010,Western Pacific,FALSE,7583269,0.57,2.75,1.7
Paraguay,2010,Americas,FALSE,5768613,2.37,8.85,5.6
Peru,2010,Americas,FALSE,29229572,3.46,11.58,7.45
Philippines,2010,Western Pacific,FALSE,94636700,2.4,9.92,6.18
Poland,2010,Europe,FALSE,38042794,5.15,18.67,11.63
Portugal,2010,Europe,FALSE,10573100,4.81,16.89,10.45
Qatar,2010,Eastern Mediterranean,FALSE,1713504,0.26,1.4,1.15
South Korea,2010,Western Pacific,FALSE,49554112,3.63,12.79,8.19
Republic of Moldova,2010,Europe,FALSE,#N/A,5.09,18.49,11.36
Romania,2010,Europe,FALSE,20246871,7.51,27.3,16.99
Russia,2010,Europe,FALSE,142849468,4.17,17.95,10.42
Rwanda,2010,Africa,FALSE,10309031,0.69,3.18,1.88
Saint Kitts and Nevis,2010,Americas,FALSE,47403,2.66,10.28,6.34
Saint Lucia,2010,Americas,FALSE,170935,3.94,15.15,9.47
Saint Vincent and the Grenadines,2010,Americas,FALSE,109308,2.84,11.26,7.16
Samoa,2010,Western Pacific,FALSE,194672,0.81,3.93,2.39
Sao Tome and Principe,2010,Africa,FALSE,182138,2.09,7.95,5.01
Saudi Arabia,2010,Eastern Mediterranean,TRUE,29411929,0,0,0
Senegal,2010,Africa,FALSE,12530121,0.11,0.73,0.41
Serbia,2010,Europe,FALSE,7291436,3.35,12.94,7.89
Seychelles,2010,Africa,FALSE,89770,4.72,18.41,11.99
Sierra Leone,2010,Africa,FALSE,6436698,0.066,0.47,0.26
Singapore,2010,Western Pacific,FALSE,5076732,0.8,2.85,1.87
Slovakia,2010,Europe,FALSE,5391428,4.61,16.74,10.48
Slovenia,2010,Europe,FALSE,2048583,4.69,17.33,10.98
Solomon Is.,2010,Western Pacific,FALSE,540394,0.55,2.65,1.62
Somalia,2010,Eastern Mediterranean,TRUE,12026649,0,0,0
South Africa,2010,Africa,FALSE,51784921,2.93,15.2,8.77
Spain,2010,Europe,FALSE,46576897,4.92,17.26,10.91
Sri Lanka,2010,South-East Asia,FALSE,20668557,1.02,4.83,2.83
Sudan,2010,Eastern Mediterranean,TRUE,33739933,0.001,0.009,0.005
Suriname,2010,Americas,FALSE,546080,2.57,10.77,6.63
Sweden,2010,Europe,FALSE,9378126,4.18,14.42,9.3
Switzerland,2010,Europe,FALSE,7824909,4.77,16.19,10.4
Syria,2010,Eastern Mediterranean,FALSE,22337563,0.044,0.36,0.2
Turkey,2010,Europe,FALSE,73195345,0.44,3.21,1.82
Tajikistan,2010,Europe,FALSE,7621779,0.24,1.5,0.87
Thailand,2010,South-East Asia,FALSE,68270489,3.04,13.01,7.85
Macedonia,2010,Europe,FALSE,2055004,1.63,7.66,4.62
Timor-Leste,2010,South-East Asia,FALSE,1088486,0.15,0.65,0.4
Togo,2010,Africa,FALSE,6571855,0.52,2.31,1.42
Tonga,2010,Western Pacific,FALSE,107383,0.13,0.64,0.38
Trinidad and Tobago,2010,Americas,FALSE,1410296,2.42,9.86,6.06
Tunisia,2010,Eastern Mediterranean,FALSE,10895063,0.49,3.61,2.01
Turkmenistan,2010,Europe,FALSE,5267970,0.84,5.12,2.93
Tuvalu,2010,Western Pacific,FALSE,10550,0.4,2.06,1.25
Uganda,2010,Africa,FALSE,32341728,4.88,19.93,12.21
Ukraine,2010,Europe,FALSE,45870741,3.82,14.57,8.7
United Arab Emirates,2010,Eastern Mediterranean,FALSE,8481771,0.41,3.08,2.37
United Kingdom,2010,Europe,FALSE,#N/A,4.94,16.95,10.82
Tanzania,2010,Africa,FALSE,45110527,3.59,17.55,10.36
United States of America,2010,Americas,FALSE,309327143,4.29,15.03,9.57
Uruguay,2010,Americas,FALSE,3352651,2.49,8.71,5.45
Uzbekistan,2010,Europe,FALSE,28562400,0.71,4.54,2.6
Vanuatu,2010,Western Pacific,FALSE,245453,0.65,3.12,1.87
Venezuela,2010,Americas,FALSE,28715022,1.16,4.95,3.02
Vietnam,2010,Western Pacific,FALSE,87411012,3.78,15.26,9.34
Yemen,2010,Eastern Mediterranean,TRUE,24743946,0.006,0.049,0.028
Zambia,2010,Africa,FALSE,13792086,1.48,6.34,3.85
Zimbabwe,2010,Africa,FALSE,12839771,1.25,6.52,3.63
Afghanistan,2005,Eastern Mediterranean,TRUE,24411191,0.004,0.029,0.016
Albania,2005,Europe,FALSE,3011487,1.88,8.36,5.11
Algeria,2005,Africa,FALSE,32956690,0.14,1.07,0.61
Andorra,2005,Europe,FALSE,79826,5,16.94,11.05
Angola,2005,Africa,FALSE,19450959,2.71,9.82,6.17
Antigua and Barbuda,2005,Americas,FALSE,79869,3.63,14.02,8.51
Argentina,2005,Americas,FALSE,39070501,3.71,12.56,8.04
Armenia,2005,Europe,FALSE,3047246,2.15,8.67,4.98
Australia,2005,Western Pacific,FALSE,20176844,4.74,15.62,10.09
Austria,2005,Europe,FALSE,8227829,5.46,18.81,11.97
Azerbaijan,2005,Europe,FALSE,8391850,0.54,3.51,1.97
Bahamas,2005,Americas,FALSE,347804,1.87,7.2,4.39
Bahrain,2005,Eastern Mediterranean,FALSE,901921,0.34,2.23,1.58
Bangladesh,2005,South-East Asia,FALSE,140912590,0.001,0.009,0.005
Barbados,2005,Americas,FALSE,269477,3.91,15.67,9.47
Belarus,2005,Europe,FALSE,9663915,4.89,18.19,10.9
Belgium,2005,Europe,FALSE,10478617,4.65,16.16,10.28
Belize,2005,Americas,FALSE,280375,2.38,9.04,5.71
Benin,2005,Africa,FALSE,8149419,3.27,13.52,8.35
Bhutan,2005,South-East Asia,FALSE,663323,0.063,0.32,0.2
Bolivia,2005,Americas,FALSE,9377388,1.9,6.3,4.1
Bosnia and Herz.,2005,Europe,FALSE,4094297,2.23,10.75,6.38
Botswana,2005,Africa,FALSE,1892807,2.81,13.82,8.16
Brazil,2005,Americas,FALSE,186797334,3.27,12.32,7.67
Brunei Darussalam,2005,Western Pacific,TRUE,366717,0.14,0.66,0.41
Bulgaria,2005,Europe,FALSE,7658972,4.91,19.51,11.92
Burkina Faso,2005,Africa,FALSE,13876127,3.31,16.59,9.81
Burundi,2005,Africa,FALSE,7388874,1.54,6.81,4.13
Côte d'Ivoire,2005,Africa,FALSE,18970215,0.95,4.61,2.8
Cabo Verde,2005,Africa,FALSE,492827,2.63,10.01,6.27
Cambodia,2005,Western Pacific,FALSE,13246583,3.43,13.8,8.48
Cameroon,2005,Africa,FALSE,17275171,4.14,16.18,10.1
Canada,2005,Americas,FALSE,32243753,4.34,15.59,9.9
Central African Rep.,2005,Africa,FALSE,4208834,0.79,3.2,1.99
Chad,2005,Africa,FALSE,10005012,1.2,6.3,3.73
Chile,2005,Americas,FALSE,16175311,3.09,10.51,6.75
China,2005,Western Pacific,FALSE,1303720000,2.28,9.09,5.73
Colombia,2005,Americas,FALSE,42220940,1.91,8.06,4.92
Comoros,2005,Africa,FALSE,592683,0.057,0.45,0.25
Congo,2005,Africa,FALSE,60223086,2.72,10.13,6.4
Costa Rica,2005,Americas,FALSE,4315887,1.3,5.62,3.45
Croatia,2005,Europe,FALSE,4310145,3.68,13.79,8.54
Cuba,2005,Americas,FALSE,11246114,2.34,9.77,6.01
Cyprus,2005,Europe,FALSE,1037062,3.43,12.7,8.05
Czechia,2005,Europe,FALSE,10211216,5.84,21.09,13.29
North Korea,2005,South-East Asia,FALSE,24100982,1.73,6.97,4.29
Dem. Rep. Congo,2005,Africa,FALSE,56550247,0.86,3.41,2.12
Denmark,2005,Europe,FALSE,5419432,4.29,14.64,9.4
Djibouti,2005,Eastern Mediterranean,FALSE,830861,0.098,0.72,0.4
Dominica,2005,Americas,FALSE,68674,2.44,9.76,6.1
Dominican Rep.,2005,Americas,FALSE,9164768,2.82,10.7,6.76
Ecuador,2005,Americas,FALSE,13770012,1.49,5.05,3.26
Egypt,2005,Eastern Mediterranean,FALSE,79075310,0.035,0.26,0.15
El Salvador,2005,Americas,FALSE,6037817,1.32,5.56,3.28
Eq. Guinea,2005,Africa,FALSE,864726,2.79,10.42,6.94
Eritrea,2005,Africa,FALSE,2831732,0.37,2.15,1.23
Estonia,2005,Europe,FALSE,1354775,5.11,18.4,11.26
eSwatini,2005,Africa,FALSE,1071886,2.73,13.66,8.09
Ethiopia,2005,Africa,FALSE,77469940,1.04,5.71,3.36
Fiji,2005,Western Pacific,FALSE,874923,1.16,5.74,3.45
Finland,2005,Europe,FALSE,5246096,4.14,14.38,9.16
France,2005,Europe,FALSE,63188395,5.14,18.04,11.3
Gabon,2005,Africa,FALSE,1458353,2.94,11.46,7.33
Gambia,2005,Africa,FALSE,1660368,0.34,1.91,1.11
Georgia,2005,Europe,FALSE,3902469,5.86,24.31,14.33
Germany,2005,Europe,FALSE,82469422,5.49,19.22,12.22
Ghana,2005,Africa,FALSE,22496951,1.75,7.41,4.55
Greece,2005,Europe,FALSE,10987314,3.12,11.34,7.12
Grenada,2005,Americas,FALSE,110254,3.31,12.84,8.06
Guatemala,2005,Americas,FALSE,12948292,0.63,2.67,1.63
Guinea,2005,Africa,FALSE,9140114,0.13,0.83,0.47
Guinea-Bissau,2005,Africa,FALSE,1379713,1.4,7.07,4.14
Guyana,2005,Americas,FALSE,759709,2.19,8.71,5.35
Haiti,2005,Americas,FALSE,9111900,1.4,5.57,3.45
Honduras,2005,Americas,FALSE,7564613,1.22,5.1,3.17
Hungary,2005,Europe,FALSE,10087065,4.68,17.22,10.6
Iceland,2005,Europe,FALSE,296734,3.7,12.28,8.07
India,2005,South-East Asia,FALSE,1154638713,1.56,8.1,4.92
Indonesia,2005,South-East Asia,FALSE,228805144,0.027,0.19,0.11
Iran,2005,Eastern Mediterranean,TRUE,70182594,0.15,1.25,0.7
Iraq,2005,Eastern Mediterranean,FALSE,28698684,0.061,0.43,0.24
Ireland,2005,Europe,FALSE,4159914,5.58,18.06,11.7
Israel,2005,Europe,FALSE,6930100,1.28,4.78,3.01
Italy,2005,Europe,FALSE,57969484,3.54,12.72,7.97
Jamaica,2005,Americas,FALSE,2676863,1.44,5.83,3.6
Japan,2005,Western Pacific,FALSE,127773000,2.89,10.74,6.68
Jordan,2005,Eastern Mediterranean,FALSE,5678534,0.072,0.52,0.31
Kazakhstan,2005,Europe,FALSE,15147029,1.43,8.06,4.52
Kenya,2005,Africa,FALSE,35843010,1,4.78,2.87
Kiribati,2005,Western Pacific,FALSE,98164,0.26,1.31,0.76
Kuwait,2005,Eastern Mediterranean,FALSE,2235403,0,0,0
Kyrgyzstan,2005,Europe,FALSE,5162600,1.47,8.7,4.95
Laos,2005,Western Pacific,FALSE,5852970,4.85,18.15,11.52
Latvia,2005,Europe,FALSE,2238799,5.99,21.73,13.09
Lebanon,2005,Eastern Mediterranean,FALSE,4643044,0.4,2.65,1.48
Lesotho,2005,Africa,FALSE,1977424,1.43,7.79,4.54
Liberia,2005,Africa,FALSE,3266318,1.43,5.94,3.64
Libya,2005,Eastern Mediterranean,TRUE,5837986,0.002,0.015,0.008
Lithuania,2005,Europe,FALSE,3322528,5.39,19.34,11.79
Luxembourg,2005,Europe,FALSE,465158,5.44,17.6,11.53
Madagascar,2005,Africa,FALSE,18792171,0.35,1.69,1.02
Malawi,2005,Africa,FALSE,12755648,1.16,5.52,3.24
Malaysia,2005,Western Pacific,FALSE,25923536,0.21,1.29,0.76
Maldives,2005,South-East Asia,TRUE,307018,0.27,2.22,1.43
Mali,2005,Africa,FALSE,13180551,1.22,7.42,4.35
Malta,2005,Europe,FALSE,403834,3.79,13.03,8.52
Mauritania,2005,Africa,TRUE,3012360,0,0,0
Mauritius,2005,Africa,FALSE,1228254,2.75,12.45,7.52
Mexico,2005,Americas,FALSE,105442402,2.3,9.38,5.72
Micronesia (Federated States of),2005,Western Pacific,FALSE,110940,0.72,3.53,2.12
Mongolia,2005,Western Pacific,FALSE,2559255,3.35,12.71,7.93
Morocco,2005,Eastern Mediterranean,FALSE,30431902,0.11,0.86,0.49
Mozambique,2005,Africa,FALSE,20211114,0.68,3.48,2.03
Myanmar,2005,South-East Asia,FALSE,47724471,0.77,3.5,2.12
Namibia,2005,Africa,FALSE,1962865,2,10.27,5.93
Nauru,2005,Western Pacific,FALSE,10318,1.04,4.82,2.94
Nepal,2005,South-East Asia,FALSE,26285110,0.48,2.4,1.36
Netherlands,2005,Europe,FALSE,16319868,4.23,14.51,9.3
New Zealand,2005,Western Pacific,FALSE,4133900,4.66,15.36,9.89
Nicaragua,2005,Americas,FALSE,5454678,1.64,6.84,4.17
Niger,2005,Africa,FALSE,13855221,0.034,0.23,0.13
Nigeria,2005,Africa,FALSE,140490722,1.37,7.02,4.21
Norway,2005,Europe,FALSE,4623291,3.09,10.49,6.8
Oman,2005,Eastern Mediterranean,FALSE,2515192,0.17,1.21,0.88
Pakistan,2005,Eastern Mediterranean,FALSE,174372098,0.028,0.18,0.1
Panama,2005,Americas,FALSE,3305868,2.65,10.6,6.6
Papua New Guinea,2005,Western Pacific,FALSE,6498818,0.57,2.75,1.7
Paraguay,2005,Americas,FALSE,5476878,2.37,8.85,5.6
Peru,2005,Americas,FALSE,28147267,3.46,11.58,7.45
Philippines,2005,Western Pacific,FALSE,86261250,2.4,9.92,6.18
Poland,2005,Europe,FALSE,38165445,5.15,18.67,11.63
Portugal,2005,Europe,FALSE,10503330,4.81,16.89,10.45
Qatar,2005,Eastern Mediterranean,FALSE,848710,0.26,1.4,1.15
South Korea,2005,Western Pacific,FALSE,48184561,3.63,12.79,8.19
Republic of Moldova,2005,Europe,FALSE,#N/A,5.09,18.49,11.36
Romania,2005,Europe,FALSE,21319685,7.51,27.3,16.99
Russia,2005,Europe,FALSE,143518814,4.17,17.95,10.42
Rwanda,2005,Africa,FALSE,9026299,0.69,3.18,1.88
Saint Kitts and Nevis,2005,Americas,FALSE,46725,2.66,10.28,6.34
Saint Lucia,2005,Americas,FALSE,165386,3.94,15.15,9.47
Saint Vincent and the Grenadines,2005,Americas,FALSE,112043,2.84,11.26,7.16
Samoa,2005,Western Pacific,FALSE,188626,0.81,3.93,2.39
Sao Tome and Principe,2005,Africa,FALSE,161680,2.09,7.95,5.01
Saudi Arabia,2005,Eastern Mediterranean,TRUE,24397644,0,0,0
Senegal,2005,Africa,FALSE,10974057,0.11,0.73,0.41
Seychelles,2005,Africa,FALSE,82858,4.72,18.41,11.99
Sierra Leone,2005,Africa,FALSE,5683334,0.066,0.47,0.26
Singapore,2005,Western Pacific,FALSE,4265762,0.8,2.85,1.87
Slovakia,2005,Europe,FALSE,5372807,4.61,16.74,10.48
Slovenia,2005,Europe,FALSE,2000474,4.69,17.33,10.98
Solomon Is.,2005,Western Pacific,FALSE,482486,0.55,2.65,1.62
Somalia,2005,Eastern Mediterranean,TRUE,10467292,0,0,0
South Africa,2005,Africa,FALSE,49017147,2.93,15.2,8.77
Spain,2005,Europe,FALSE,43653155,4.92,17.26,10.91
Sri Lanka,2005,South-East Asia,FALSE,19673866,1.02,4.83,2.83
Sudan,2005,Eastern Mediterranean,TRUE,29540577,0.001,0.009,0.005
Suriname,2005,Americas,FALSE,516220,2.57,10.77,6.63
Sweden,2005,Europe,FALSE,9029572,4.18,14.42,9.3
Switzerland,2005,Europe,FALSE,7437115,4.77,16.19,10.4
Syria,2005,Eastern Mediterranean,FALSE,18583557,0.044,0.36,0.2
Turkey,2005,Europe,FALSE,68704715,0.44,3.21,1.82
Tajikistan,2005,Europe,FALSE,6929145,0.24,1.5,0.87
Thailand,2005,South-East Asia,FALSE,65821360,3.04,13.01,7.85
Macedonia,2005,Europe,FALSE,2036855,1.63,7.66,4.62
Timor-Leste,2005,South-East Asia,FALSE,969313,0.15,0.65,0.4
Togo,2005,Africa,FALSE,5711597,0.52,2.31,1.42
Tonga,2005,Western Pacific,FALSE,105633,0.13,0.64,0.38
Trinidad and Tobago,2005,Americas,FALSE,1369075,2.42,9.86,6.06
Tunisia,2005,Eastern Mediterranean,FALSE,10388344,0.49,3.61,2.01
Turkmenistan,2005,Europe,FALSE,4885775,0.84,5.12,2.93
Tuvalu,2005,Western Pacific,FALSE,9912,0.4,2.06,1.25
Uganda,2005,Africa,FALSE,27946588,4.88,19.93,12.21
Ukraine,2005,Europe,FALSE,47105171,3.82,14.57,8.7
United Arab Emirates,2005,Eastern Mediterranean,FALSE,4280993,0.41,3.08,2.37
United Kingdom,2005,Europe,FALSE,#N/A,4.94,16.95,10.82
Tanzania,2005,Africa,FALSE,39439505,3.59,17.55,10.36
United States of America,2005,Americas,FALSE,295516599,4.29,15.03,9.57
Uruguay,2005,Americas,FALSE,3317665,2.49,8.71,5.45
Uzbekistan,2005,Europe,FALSE,26167000,0.71,4.54,2.6
Vanuatu,2005,Western Pacific,FALSE,217632,0.65,3.12,1.87
Venezuela,2005,Americas,FALSE,26668785,1.16,4.95,3.02
Vietnam,2005,Western Pacific,FALSE,83142095,3.78,15.26,9.34
Yemen,2005,Eastern Mediterranean,TRUE,21320671,0.006,0.049,0.028
Zambia,2005,Africa,FALSE,11564870,1.48,6.34,3.85
Zimbabwe,2005,Africa,FALSE,12224753,1.25,6.52,3.63
Afghanistan,2000,Eastern Mediterranean,TRUE,19542982,0.004,0.029,0.016
Albania,2000,Europe,FALSE,3089027,1.88,8.36,5.11
Algeria,2000,Africa,FALSE,30774621,0.14,1.07,0.61
Andorra,2000,Europe,FALSE,66097,5,16.94,11.05
Angola,2000,Africa,FALSE,16394062,2.71,9.82,6.17
Antigua and Barbuda,2000,Americas,FALSE,75055,3.63,14.02,8.51
Argentina,2000,Americas,FALSE,37070774,3.71,12.56,8.04
Armenia,2000,Europe,FALSE,3168523,2.15,8.67,4.98
Australia,2000,Western Pacific,FALSE,19028802,4.74,15.62,10.09
Austria,2000,Europe,FALSE,8011566,5.46,18.81,11.97
Azerbaijan,2000,Europe,FALSE,8048600,0.54,3.51,1.97
Bahamas,2000,Americas,FALSE,325014,1.87,7.2,4.39
Bahrain,2000,Eastern Mediterranean,FALSE,711442,0.34,2.23,1.58
Bangladesh,2000,South-East Asia,FALSE,129193327,0.001,0.009,0.005
Barbados,2000,Americas,FALSE,264657,3.91,15.67,9.47
Belarus,2000,Europe,FALSE,9979610,4.89,18.19,10.9
Belgium,2000,Europe,FALSE,10251250,4.65,16.16,10.28
Belize,2000,Americas,FALSE,240406,2.38,9.04,5.71
Benin,2000,Africa,FALSE,6998023,3.27,13.52,8.35
Bhutan,2000,South-East Asia,FALSE,587207,0.063,0.32,0.2
Bolivia,2000,Americas,FALSE,8592656,1.9,6.3,4.1
Bosnia and Herz.,2000,Europe,FALSE,4179350,2.23,10.75,6.38
Botswana,2000,Africa,FALSE,1726985,2.81,13.82,8.16
Brazil,2000,Americas,FALSE,175873720,3.27,12.32,7.67
Brunei Darussalam,2000,Western Pacific,TRUE,333926,0.14,0.66,0.41
Bulgaria,2000,Europe,FALSE,8170172,4.91,19.51,11.92
Burkina Faso,2000,Africa,FALSE,11882888,3.31,16.59,9.81
Burundi,2000,Africa,FALSE,6307659,1.54,6.81,4.13
Côte d'Ivoire,2000,Africa,FALSE,16799670,0.95,4.61,2.8
Cabo Verde,2000,Africa,FALSE,458251,2.63,10.01,6.27
Cambodia,2000,Western Pacific,FALSE,12118841,3.43,13.8,8.48
Cameroon,2000,Africa,FALSE,15091594,4.14,16.18,10.1
Canada,2000,Americas,FALSE,30685730,4.34,15.59,9.9
Central African Rep.,2000,Africa,FALSE,3759170,0.79,3.2,1.99
Chad,2000,Africa,FALSE,8259137,1.2,6.3,3.73
Chile,2000,Americas,FALSE,15351799,3.09,10.51,6.75
China,2000,Western Pacific,FALSE,1262645000,2.28,9.09,5.73
Colombia,2000,Americas,FALSE,39215135,1.91,8.06,4.92
Comoros,2000,Africa,FALSE,536758,0.057,0.45,0.25
Congo,2000,Africa,FALSE,51750347,2.72,10.13,6.4
Costa Rica,2000,Americas,FALSE,3979193,1.3,5.62,3.45
Croatia,2000,Europe,FALSE,4468302,3.68,13.79,8.54
Cuba,2000,Americas,FALSE,11105791,2.34,9.77,6.01
Cyprus,2000,Europe,FALSE,948237,3.43,12.7,8.05
Czechia,2000,Europe,FALSE,10255063,5.84,21.09,13.29
North Korea,2000,South-East Asia,FALSE,23367059,1.73,6.97,4.29
Dem. Rep. Congo,2000,Africa,FALSE,48616317,0.86,3.41,2.12
Denmark,2000,Europe,FALSE,5339616,4.29,14.64,9.4
Djibouti,2000,Eastern Mediterranean,FALSE,742033,0.098,0.72,0.4
Dominica,2000,Americas,FALSE,68346,2.44,9.76,6.1
Dominican Rep.,2000,Americas,FALSE,8540791,2.82,10.7,6.76
Ecuador,2000,Americas,FALSE,12626507,1.49,5.05,3.26
Egypt,2000,Eastern Mediterranean,FALSE,71371371,0.035,0.26,0.15
